,Test Accuracy,Precision,Recall,F1 Score,MCC,Confusion Matrix
Logistic Regression,0.7318501170960188,0.7183499288762447,0.9421641791044776,0.8151735270379339,0.4048848203650721,[120 198  31 505]
Decision Tree,0.9953161592505855,0.99812734082397,0.9944029850746269,0.9962616822429907,0.9900045429816164,[317   1   3 533]
Random Forest,0.9988290398126464,0.9981378026070763,1.0,0.9990680335507922,0.9974963681566317,[317   1   0 536]
XGBoost,0.9964871194379391,0.9962756052141527,0.9981343283582089,0.9972041006523764,0.9924828205649032,[316   2   1 535]
LightGBM,0.9953161592505855,0.9944237918215614,0.9981343283582089,0.9962756052141527,0.989978973715977,[315   3   1 535]
CatBoost,0.9929742388758782,0.9962546816479401,0.9925373134328358,0.9943925233644859,0.9850005545365218,[316   2   4 532]
SVC,0.6276346604215457,0.6276346604215457,1.0,0.7712230215827338,0.0,[  0 318   0 536]
KNN,0.5597189695550351,0.6294498381877023,0.7257462686567164,0.6741767764298093,0.006076021685600664,[ 89 229 147 389]
Naive Bayes,0.629976580796253,0.6291079812206573,1.0,0.7723342939481268,0.06290193931780833,[  2 316   0 536]
MLP,0.38992974238875877,0.6363636363636364,0.06529850746268656,0.11844331641285957,0.004737324861875433,[298  20 501  35]
AdaBoost,0.9859484777517564,0.9924812030075187,0.9850746268656716,0.9887640449438201,0.9700632035433927,[314   4   8 528]
Extra Trees,0.977751756440281,0.9813780260707635,0.9832089552238806,0.9822926374650514,0.9523744398310757,[308  10   9 527]
